n-gram	total_score	total_occurrences	average_score
this case	4.05	5	0.8099999999999999
case .	6.8	6	1.1333333333333333
Absolutely she	-0.2	1	-0.2
not only	11.333333333332998	14	0.8095238095237856
only my	-0.2	1	-0.2
my best	-0.6	3	-0.19999999999999998
best lover	-0.2	1	-0.2
lover but	-0.2	1	-0.2
but my	-1.4	2	-0.7
my only	-0.2	1	-0.2
only lover	-0.2	1	-0.2
lover ...	-0.2	1	-0.2
hope my	-1.8	1	-1.8
my kids	-6.4	3	-2.1333333333333333
kids are	0.20000000000000007	4	0.05000000000000002
are that	-1.8	1	-1.8
that motivated	-1.8	1	-1.8
motivated in	-1.8	1	-1.8
in 9th	-1.8	1	-1.8
9th grade	-1.8	1	-1.8
grade .	-2.2	4	-0.55
Amazing grace	-0.8	1	-0.8
grace ,	-0.8	1	-0.8
, how	-1.0499999999999998	3	-0.3499999999999999
how sweet	-0.8	1	-0.8
sweet the	-0.8	1	-0.8
the sound	0.5999999999999999	2	0.29999999999999993
sound that	0.8	2	0.4
that saved	-0.8	1	-0.8
saved a	-0.8	1	-0.8
a ...	-0.8	1	-0.8
... ...	-37.91666666667	18	-2.1064814814816666
Ho sent	1.0	1	1.0
sent a	6.4	7	0.9142857142857144
a letter	14.400000000000002	15	0.9600000000000002
letter to	19.8	12	1.6500000000000001
to Truman	1.0	1	1.0
Truman ,	1.0	1	1.0
, asking	3.2	2	1.6
asking him	2.6	2	1.3
to back	2.4	3	0.7999999999999999
back Vietnam	1.0	1	1.0
Vietnam for	1.0	1	1.0
for independence	1.0	1	1.0
independence .	1.0	1	1.0
Diane :	-1.4	1	-1.4
m going	-6.6	4	-1.65
going home	-1.4	1	-1.4
home .	-6.98333333333	9	-0.7759259259255555
Something to	-1.4	1	-1.4
to consider	-1.4	1	-1.4
consider ,	-1.4	1	-1.4
it mixes	-1.4	1	-1.4
mixes things	-1.4	1	-1.4
things up	-1.4	1	-1.4
up a	4.0	8	0.5
little :	-1.4	1	-1.4
: )	-13.500000000000002	8	-1.6875000000000002
There installation	-1.75	1	-1.75
installation problems	-1.75	1	-1.75
problems ,	-1.75	1	-1.75
, zero	-1.75	1	-1.75
ya ,	-2.8	1	-2.8
I never	-9.25	9	-1.0277777777777777
never go	-6.199999999999999	3	-2.0666666666666664
go on	-5.6	4	-1.4
on there	-4.0	2	-2.0
there .	-15.65	12	-1.3041666666666667
All that	0.8	1	0.8
that shall	0.8	1	0.8
shall remain	0.8	1	0.8
remain is	0.8	1	0.8
a longing	0.8	1	0.8
longing ,	0.8	1	0.8
, deep	0.8	1	0.8
deep inside	0.8	1	0.8
inside me	0.8	1	0.8
Here it	-2.2	2	-1.1
is again	-2.2	1	-2.2
again .	-10.799999999999999	13	-0.8307692307692307
. )	-8.4	10	-0.8400000000000001
The question	2.4	4	0.6
question you	0.4	1	0.4
have asked	3.2	4	0.8
asked makes	0.4	1	0.4
makes no	0.4	1	0.4
no sense	0.4	1	0.4
sense .	0.0	2	0.0
You should	-2.0	6	-0.3333333333333333
should contact	1.4	2	0.7
contact a	1.0	1	1.0
good physician	1.0	1	1.0
physician specialising	1.0	1	1.0
specialising in	1.0	1	1.0
in general	4.05	4	1.0125
general medicine	1.0	1	1.0
medicine .	-1.0	3	-0.3333333333333333
Do what	-5.199999999999999	4	-1.2999999999999998
what I	-4.949999999999999	15	-0.32999999999999996
, have	-12.05	7	-1.7214285714285715
have them	-5.15	5	-1.03
them tinted	-1.8	1	-1.8
tinted .	-1.8	1	-1.8
360 :	-0.333333333333	1	-0.333333333333
: Muslimah	-0.333333333333	1	-0.333333333333
Muslimah .	-0.333333333333	1	-0.333333333333
unless your	-1.4	1	-1.4
your in	-1.4	1	-1.4
a lease	0.8000000000000003	2	0.40000000000000013
lease ,	-1.4	1	-1.4
, AND	-0.19999999999999996	2	-0.09999999999999998
AND the	-1.7999999999999998	2	-0.8999999999999999
the the	1.1	4	0.275
the lease	0.20000000000000018	2	0.10000000000000009
lease states	-1.4	1	-1.4
states such	-1.4	1	-1.4
a responsibility	-1.4	1	-1.4
responsibility .	-1.2	2	-0.6
who have	17.5	16	1.09375
have curves	2.6	1	2.6
curves beyond	2.6	1	2.6
beyond 40	2.6	1	2.6
40 to	2.6	1	2.6
to 50	2.6	1	2.6
50 degrees	2.6	1	2.6
degrees are	2.6	1	2.6
are often	2.6	1	2.6
often considered	2.6	1	2.6
considered for	5.4	3	1.8
for surgery	2.6	1	2.6
surgery .	2.6	1	2.6
Not for	-0.2	1	-0.2
the questions	-2.2	2	-1.1
questions ...	-2.4000000000000004	2	-1.2000000000000002
... at	-0.2	1	-0.2
at least	19.500000000000004	39	0.5000000000000001
least I	-0.2	1	-0.2
have n't	-6.199999999999998	13	-0.4769230769230768
n't seen	-3.0	2	-1.5
seen it	-0.2	1	-0.2
to Army.com	-0.2	1	-0.2
Army.com and	-0.2	1	-0.2
and sign	-0.4	2	-0.2
sign up	1.2	2	0.6
up ,	-0.4666666666700001	3	-0.1555555555566667
have potential	-0.2	1	-0.2
potential .	-0.2	1	-0.2
It can	2.266666666667	6	0.37777777777783333
can damage	-0.6	1	-0.6
damage your	-0.6	1	-0.6
heart valves	-0.6	1	-0.6
valves according	-0.6	1	-0.6
to some	-1.1500000000000001	7	-0.1642857142857143
some studies	-0.6	1	-0.6
studies .	-0.6	1	-0.6
It will	9.8	16	0.6125
be by	0.0	1	0.0
by point	0.0	1	0.0
point size	0.0	1	0.0
size (	0.0	1	0.0
( numbers	0.0	1	0.0
numbers )	0.0	1	0.0
) .	-5.033333333342998	25	-0.20133333333371994
To my	0.0	1	0.0
my knowing	0.0	1	0.0
knowing no	0.0	1	0.0
no is	0.0	1	0.0
the answer	-2.8	11	-0.2545454545454545
It may	1.3000000000000003	4	0.32500000000000007
may even	2.2	1	2.2
even be	0.4500000000000002	2	0.2250000000000001
be that	-0.19999999999999996	7	-0.028571428571428564
that although	2.0	2	1.0
although we	2.2	1	2.2
we can	7.65	27	0.2833333333333333
can understand	3.45	3	1.1500000000000001
understand all	2.2	1	2.2
all of	5.199999999999999	29	0.17931034482758618
of this	38.716666666669994	55	0.7039393939394545
this intellectually	2.2	1	2.2
intellectually .	2.2	1	2.2
Because if	-2.2	1	-2.2
if the	16.350000000000005	23	0.7108695652173915
the bikini	-4.2	2	-2.1
bikini is	-2.2	1	-2.2
is sexy	-3.2	2	-1.6
sexy but	-2.2	1	-2.2
but she	-0.6000000000000005	6	-0.10000000000000009
she 's	-22.4	12	-1.8666666666666665
's really	-2.2	1	-2.2
really fat	-2.2	1	-2.2
fat ...	-2.2	1	-2.2
Try this	-1.2	1	-1.2
this :	1.0000000000000002	3	0.3333333333333334
: Go	-1.2	1	-1.2
a mirror	-1.2	1	-1.2
mirror ,	-1.2	1	-1.2
and face	-1.2	1	-1.2
face it	-1.2	1	-1.2
The sequence	2.8	1	2.8
sequence of	3.4	2	1.7
of reactions	2.8	1	2.8
reactions of	2.8	1	2.8
of anaerobic	2.8	1	2.8
anaerobic glycolysis	2.8	1	2.8
glycolysis or	2.8	1	2.8
or fermentation	2.8	1	2.8
fermentation is	2.8	1	2.8
is shown	2.8	1	2.8
shown in	9.0	4	2.25
the illustration	2.8	1	2.8
illustration .	2.8	1	2.8
Did you	-5.1000000000000005	5	-1.02
check ?	-1.5	1	-1.5
YellowCard is	0.4	1	0.4
is something	4.199999999999999	11	0.3818181818181818
something you	-3.7	8	-0.4625
you might	-1.7000000000000002	7	-0.24285714285714288
might get	0.4	1	0.4
get in	3.0	5	0.6
in soccer	0.4	1	0.4
soccer .	0.4	1	0.4
is really	2.2	9	0.24444444444444446
really fun	-2.2	2	-1.1
fun and	-4.6	4	-1.15
and before	-0.6	1	-0.6
before you	-2.05	12	-0.1708333333333333
know it	-7.5	7	-1.0714285714285714
it ,	-6.6	16	-0.4125
your house	-0.8	2	-0.4
house is	-0.6	1	-0.6
is cleaned	-0.6	1	-0.6
cleaned .	-1.7999999999999998	2	-0.8999999999999999
have wonder	-2.0	1	-2.0
wonder that	-2.0	1	-2.0
that too	-3.4	3	-1.1333333333333333
too !	-7.2	4	-1.8
it funner	-3.0	1	-3.0
funner ?	-3.0	1	-3.0
So thanks	-1.0	1	-1.0
thanks all	-1.0	1	-1.0
way around	-2.0	2	-1.0
around !	-1.0	1	-1.0
This should	1.4	2	0.7
be the	13.500000000000002	39	0.3461538461538462
`` ideal	1.2	1	1.2
ideal ''	1.2	1	1.2
'' treatment	1.2	1	1.2
treatment of	1.2	1	1.2
of bronchial	1.2	1	1.2
bronchial asthma	1.2	1	1.2
asthma .	1.2	1	1.2
Steve McNair	0.0	1	0.0
McNair is	0.0	1	0.0
very good	-2.0500000000000003	13	-0.15769230769230771
good day	-0.4	2	-0.2
day against	0.0	1	0.0
against theFalcons	0.0	1	0.0
theFalcons .	0.0	1	0.0
Sorry that	-1.2	1	-1.2
that happened	-0.6499999999999999	4	-0.16249999999999998
Shred chicken	-0.2	1	-0.2
chicken meat	-0.2	1	-0.2
meat ,	-0.2	1	-0.2
, approximately	-0.2	1	-0.2
approximately 4	-0.2	1	-0.2
cups .	-0.2	1	-0.2
b. Spy	-2.75	1	-2.75
Spy Kids	-2.75	1	-2.75
Kids 3	-2.75	1	-2.75
3 .	-3.25	6	-0.5416666666666666
It 's	-39.75000000000001	54	-0.7361111111111113
's fun	-2.3	2	-1.15
fun meeting	-0.8	1	-0.8
meeting people	-0.8	1	-0.8
people in	7.933333333333	13	0.6102564102563846
in cyberspace	-0.8	1	-0.8
cyberspace .	-0.8	1	-0.8
out a	2.35	10	0.23500000000000001
a &	-2.25	1	-2.25
& e	-2.25	1	-2.25
e website	-2.25	1	-2.25
website for	-4.45	3	-1.4833333333333334
a link	-2.4499999999999997	6	-0.40833333333333327
link or	-2.25	1	-2.25
or criss	-2.25	1	-2.25
criss angel	-2.25	1	-2.25
angel .	-2.25	1	-2.25
This site	2.6	2	1.3
site gives	1.0	1	1.0
gives a	1.0	1	1.0
good explanation	1.0	1	1.0
explanation :	1.0	1	1.0
: http://www.tomshardware.com/2004/09/24/the_logitech_mouse_goes_laser/	1.0	1	1.0
its OK	-2.0	1	-2.0
OK in	-2.0	1	-2.0
my area	-2.0	1	-2.0
if there	0.8	7	0.1142857142857143
are enough	-1.4000000000000001	3	-0.46666666666666673
enough fumes	-0.2	1	-0.2
fumes around	-0.2	1	-0.2
the cigarette	-0.2	1	-0.2
cigarette it	-0.2	1	-0.2
it can	6.466666666669999	13	0.4974358974361538
can happon	-0.2	1	-0.2
happon .	-0.2	1	-0.2
Are you	-11.6	12	-0.9666666666666667
you adding	-0.2	1	-0.2
adding the	-0.2	1	-0.2
the Dining	-0.2	1	-0.2
Dining Plan	-0.2	1	-0.2
Plan ?	-0.2	1	-0.2
Disappear ,	0.25	1	0.25
, INXS	0.25	1	0.25
INXS 91	0.25	1	0.25
91 .	0.25	1	0.25
The difference	-1.4	1	-1.4
difference between	-1.4	6	-0.2333333333333333
between the	20.8	21	0.9904761904761905
the two	23.6	28	0.8428571428571429
two .	5.551115123125783e-17	3	1.850371707708594e-17
LETS GO	-2.4	1	-2.4
GO METS	-2.4	1	-2.4
METS !	-2.4	1	-2.4
CM Punk	-2.33333333333	1	-2.33333333333
Punk 9	-2.33333333333	1	-2.33333333333
9 .	-0.33333333333000015	2	-0.16666666666500007
But if	-1.6	6	-0.26666666666666666
can afford	3.5999999999999996	4	0.8999999999999999
afford it	-1.0	1	-1.0
it Fresh	-1.0	1	-1.0
Fresh Step	-1.0	1	-1.0
Step is	-1.0	1	-1.0
It has	6.3999999999999995	7	0.9142857142857143
has been	116.35000000000001	132	0.881439393939394
been over	0.0	1	0.0
over a	9.0	7	1.2857142857142858
year for	4.6	5	0.9199999999999999
I really	-6.55	9	-0.7277777777777777
really do	-6.3999999999999995	4	-1.5999999999999999
know i	-2.6	1	-2.6
not an	-1.4	3	-0.4666666666666666
an american	-2.6	1	-2.6
REGARDLESS TO	-1.8	1	-1.8
TO WHAT	-1.8	1	-1.8
WHAT HAS	-1.8	1	-1.8
HAS HAPPENED	-1.8	1	-1.8
HAPPENED IN	-1.8	1	-1.8
IN THE	-3.4000000000000004	2	-1.7000000000000002
THE PAST	-1.8	1	-1.8
PAST ,	-1.8	1	-1.8
, HE	-1.8	1	-1.8
HE OWES	-1.8	1	-1.8
OWES YOU	-1.8	1	-1.8
YOU THAT	-1.8	1	-1.8
THAT MONEY	-1.8	1	-1.8
MONEY .	-1.8	1	-1.8
You come	-2.2	1	-2.2
come off	-4.800000000000001	2	-2.4000000000000004
off shady	-2.2	1	-2.2
shady and	-2.2	1	-2.2
I know	-19.900000000004006	46	-0.432608695652261
know you	-0.04999999999999999	9	-0.005555555555555554
are a	-5.55	14	-0.3964285714285714
a bigot	-2.2	1	-2.2
bigot !	-2.2	1	-2.2
UCLA ,	-0.5	1	-0.5
, UC	-0.5	1	-0.5
UC Davis	-0.5	1	-0.5
Davis ,	-0.5	1	-0.5
, USC	-0.5	1	-0.5
USC ,	-0.5	1	-0.5
, --	-0.5	1	-0.5
-- these	-0.5	1	-0.5
these three	-2.1	2	-1.05
three are	-0.5	2	-0.25
are fairly	-0.5	1	-0.5
fairly good	-0.5	1	-0.5
good .	-19.4	15	-1.2933333333333332
Usually it	-0.4	1	-0.4
a cost	0.7999999999999999	2	0.39999999999999997
cost of	8.4	7	1.2
of living	0.6	3	0.19999999999999998
living thing	-0.4	1	-0.4
thing .	-2.2	7	-0.31428571428571433
i request	-0.4	1	-0.4
request to	6.6000000000000005	6	1.1
to all	3.6000000000000005	6	0.6000000000000001
all to	-0.4	1	-0.4
to please	0.6	3	0.19999999999999998
please visit	1.6	2	0.8
visit there	-0.4	1	-0.4
there and	-1.0	5	-0.2
the actual	2.5999999999999996	5	0.5199999999999999
actual truth	-0.4	1	-0.4
truth .	-2.1999999999999997	5	-0.43999999999999995
forgot how	-1.2	1	-1.2
how much	-8.400000000000002	12	-0.7000000000000002
much I	-3.2	2	-1.6
the McNuggets	-1.2	1	-1.2
McNuggets until	-1.2	1	-1.2
until I	-3.4000000000000004	2	-1.7000000000000002
had children	-1.2	1	-1.2
children .	6.45	6	1.075
Ta -	-3.0	1	-3.0
- daaa	-3.0	1	-3.0
daaa problem	-3.0	1	-3.0
problem solved	-3.0	1	-3.0
solved .	-1.25	2	-0.625
ve heard	-3.4000000000000004	2	-1.7000000000000002
heard conair	-2.2	1	-2.2
conair sucks	-2.2	1	-2.2
Somewhere along	0.6	1	0.6
along the	2.4000000000000004	6	0.4000000000000001
the line	1.65	5	0.32999999999999996
line ,	0.0	2	0.0
, things	0.6	1	0.6
things went	0.6	1	0.6
went really	0.6	1	0.6
really wrong	0.6	1	0.6
wrong in	0.6	1	0.6
your home	1.2	2	0.6
keep her	-1.2000000000000002	4	-0.30000000000000004
her away	-3.0	3	-1.0
away from	-1.0000000000000018	19	-0.052631578947368515
from him	-6.55	4	-1.6375
Just accept	-2.0	1	-2.0
accept the	-1.6	2	-0.8
the gift	-2.0	1	-2.0
gift and	-2.0	1	-2.0
and walk	0.20000000000000007	3	0.0666666666666667
walk through	-2.0	1	-2.0
through .	-2.6	2	-1.3
I played	0.8	1	0.8
played the	0.8	1	0.8
the guitar	0.8	1	0.8
guitar for	0.8	1	0.8
for 10	6.0	4	1.5
10 years	-0.6000000000000001	4	-0.15000000000000002
years before	3.4	4	0.85
before getting	1.2000000000000002	2	0.6000000000000001
getting any	0.8	1	0.8
any formal	0.8	1	0.8
formal training	2.8	2	1.4
training .	4.0	4	1.0
Fibroid tumors	0.0	1	0.0
tumors have	0.0	1	0.0
lot to	0.0	5	0.0
it !	-23.149999999999995	14	-1.6535714285714282
Blessed Be	-3.0	1	-3.0
Be )	-3.0	1	-3.0
) O	-3.0	1	-3.0
O (	-3.0	1	-3.0
The story	-1.2	4	-0.3
story of	1.0	4	0.25
of William	0.0	1	0.0
William wllace	0.0	1	0.0
wllace :	0.0	1	0.0
: http://en.wikipedia.org/wiki/William_Wallace	0.0	1	0.0
my skin	-3.0	3	-1.0
skin looks	-1.8	1	-1.8
a china	-1.8	1	-1.8
china doll	-1.8	1	-1.8
doll .	-1.8	1	-1.8
Homes :	-0.8	2	-0.4
: Each	0.2	1	0.2
Each family	0.2	1	0.2
family had	0.2	1	0.2
had two	1.8	2	0.9
two homes	0.2	1	0.2
homes .	2.6	4	0.65
Roughly 14	1.2	1	1.2
14 days	-0.30000000000000004	3	-0.10000000000000002
days after	1.5999999999999999	4	0.39999999999999997
after ovulation	1.2	1	1.2
ovulation ,	1.2	1	1.2
a period	7.199999999999999	6	1.2
period .	1.6	2	0.8
Make sure	5.6	6	0.9333333333333332
sure that	8.75	12	0.7291666666666666
that she	23.2	25	0.9279999999999999
has her	0.2	1	0.2
her facts	0.2	1	0.2
facts correct	0.2	1	0.2
correct .	2.9999999999999996	5	0.5999999999999999
This causes	1.0	1	1.0
causes the	1.0	1	1.0
the muscles	1.0	1	1.0
muscles to	1.0	1	1.0
to tense	1.0	1	1.0
tense up	1.0	1	1.0
up repeatedly	1.0	1	1.0
repeatedly .	1.0	1	1.0
Sarah 85	-2.0	1	-2.0
85 pretty	-2.0	1	-2.0
pretty much	-7.199999999999999	7	-1.0285714285714285
much has	-2.0	1	-2.0
has u	-2.0	1	-2.0
u covered	-2.0	1	-2.0
covered .	-1.8	2	-0.9
's how	-5.0	6	-0.8333333333333334
how corporate	-0.8	1	-0.8
corporate America	-0.8	1	-0.8
America works	-0.8	1	-0.8
works !	-3.0	2	-1.5
say ,	-2.8499999999999996	6	-0.4749999999999999
, God	-3.0	2	-1.5
God makes	-0.8	1	-0.8
makes beautiful	-0.8	1	-0.8
beautiful creations	-0.8	1	-0.8
creations does	-0.8	1	-0.8
does n't	-24.6	19	-1.2947368421052632
n't he	-0.8	1	-0.8
he ?	-7.3999999999999995	4	-1.8499999999999999
will display	2.0	1	2.0
display all	2.0	1	2.0
all entries	2.0	1	2.0
entries in	2.0	1	2.0
in windows	2.0	1	2.0
windows registry	2.0	1	2.0
registry under	2.0	1	2.0
under different	2.0	1	2.0
different categories	2.0	1	2.0
categories .	2.0	1	2.0
Foreman studies	1.2	1	1.2
studies her	1.2	1	1.2
her eyes	0.6	3	0.19999999999999998
eyes ,	1.2	1	1.2
, noticing	2.0	2	1.0
noticing yellow	1.2	1	1.2
yellow in	1.2	1	1.2
the sclera	1.2	1	1.2
sclera .	1.2	1	1.2
A very	0.0	2	0.0
very fast	-1.0	2	-0.5
fast film	0.2	1	0.2
film speed	0.2	1	0.2
n't obey	-0.25	1	-0.25
obey ,	-0.25	1	-0.25
are only	0.95	2	0.475
only fooling	-0.25	1	-0.25
fooling yourself	-0.25	1	-0.25
yourself .	-0.8499999999999999	5	-0.16999999999999998
my girlfriend	-1.8	1	-1.8
girlfriend had	-1.8	1	-1.8
new head	-0.19999999999999996	2	-0.09999999999999998
head when	-1.8	1	-1.8
she bought	-1.8	1	-1.8
bought her	-1.4	2	-0.7
her 97	-1.8	1	-1.8
97 neon	-1.8	1	-1.8
neon .	-1.8	1	-1.8
But a	2.6	4	0.65
very few	1.8	4	0.45
few were	1.4000000000000001	2	0.7000000000000001
were rich	-0.2	1	-0.2
rich kids	-0.2	1	-0.2
kids ,	-1.4	2	-0.7
most were	3.6	3	1.2
were your	-0.2	1	-0.2
your average	1.8	2	0.9
average American	-0.2	1	-0.2
American .	-2.0	2	-1.0
It costs	0.0	1	0.0
costs nothing	0.0	1	0.0
nothing but	2.2	3	0.7333333333333334
but creates	0.0	1	0.0
creates much	0.0	1	0.0
much .	-9.0	9	-1.0
This often	1.6	1	1.6
often makes	1.6	1	1.6
makes the	4.0	4	1.0
the mathematical	1.6	1	1.6
mathematical analysis	1.6	1	1.6
analysis easier	1.6	1	1.6
easier .	1.6	1	1.6
have had	7.6000000000000005	16	0.47500000000000003
had only	0.4	1	0.4
only limited	0.4	1	0.4
limited success	0.4	1	0.4
success .	2.8	3	0.9333333333333332
Most men	-2.0	1	-2.0
are insecure	-3.25	2	-1.625
insecure any	-2.0	1	-2.0
any way	7.749999999999999	10	0.7749999999999999
way .	-7.000000000000001	15	-0.46666666666666673
Spain is	-1.0	1	-1.0
is finished	-1.0	1	-1.0
finished .	-1.0	1	-1.0
sounds crazy	-2.4	1	-2.4
crazy but	-2.4	1	-2.4
but works	-2.4	1	-2.4
In 1970	1.4	1	1.4
1970 ,	1.4	1	1.4
the number	8.5	13	0.6538461538461539
number of	27.900000000000002	33	0.8454545454545456
of HMOs	1.4	1	1.4
HMOs declined	1.4	1	1.4
declined to	14.8	12	1.2333333333333334
to less	1.4	1	1.4
less than	13.0	15	0.8666666666666667
than 40	2.0	2	1.0
40 .	1.4	1	1.4
I was	-2.8333333333299997	56	-0.05059523809517857
was about	0.3999999999999999	3	0.1333333333333333
about 30	0.45	2	0.225
30 lbs	0.2	1	0.2
lbs overweight	0.2	1	0.2
overweight .	0.2	1	0.2
yea in	-2.6	1	-2.6
the sixth	-1.0	3	-0.3333333333333333
sixth grade	-2.6	1	-2.6
But he	-0.7999999999999996	10	-0.07999999999999996
he will	1.9000000000000004	14	0.13571428571428573
will never	0.7999999999999999	10	0.07999999999999999
never be	-8.200000000000001	7	-1.1714285714285715
with me	-11.299999999999999	11	-1.0272727272727271
( The	-0.75	1	-0.75
The Riddle	-0.75	1	-0.75
Riddle )	-0.75	1	-0.75
) Why	0.44999999999999996	2	0.22499999999999998
Why have	-0.75	1	-0.75
a Cold	-0.75	1	-0.75
Cold War	1.25	3	0.4166666666666667
War ?	-0.75	1	-0.75
My pediatrician	-0.2	1	-0.2
pediatrician said	-0.2	1	-0.2
said not	-0.2	1	-0.2
not to	-0.10000000000000164	39	-0.002564102564102606
to use	15.75	24	0.65625
use castor	-0.2	1	-0.2
castor oil	-0.2	1	-0.2
oil at	-0.2	1	-0.2
all .	-24.249999999999996	18	-1.347222222222222
Quiet ,	-3.0	1	-3.0
, hippy	-3.0	1	-3.0
hippy .	-3.0	1	-3.0
anyone can	-2.6	2	-1.3
can get	-8.350000000000001	16	-0.5218750000000001
As long	-2.13333333333	4	-0.5333333333325
long as	-2.13333333333	10	-0.213333333333
as it	18.666666666670004	19	0.9824561403510529
is safe	0.2	1	0.2
safe you	0.2	1	0.2
should let	0.2	1	0.2
let them	-2.8	6	-0.4666666666666666
them go	0.2	1	0.2
go .	-2.9999999999999996	7	-0.4285714285714285
After 9/11	0.8	1	0.8
9/11 they	0.8	1	0.8
they were	6.300000000000001	41	0.15365853658536588
were responsible	0.8	1	0.8
for about	0.25	5	0.05
about 510	0.8	1	0.8
510 deaths	0.8	1	0.8
deaths .	0.8	1	0.8
Cut into	1.0	2	0.5
into bars	0.0	1	0.0
bars .	0.0	1	0.0
There were	6.6	8	0.825
were members	0.6	1	0.6
members of	29.700000000000003	27	1.1
the Orion	3.4000000000000004	3	1.1333333333333335
Orion group	0.6	1	0.6
group there	0.6	1	0.6
there occasionally	0.6	1	0.6
occasionally .	-0.7999999999999999	3	-0.26666666666666666
Then drop	1.4	1	1.4
drop back	1.4	1	1.4
back down	1.4	1	1.4
down to	5.8	7	0.8285714285714285
the trot	1.4	1	1.4
trot and	1.4	1	1.4
and change	1.6	4	0.4
change your	1.4	1	1.4
your direction	1.4	1	1.4
direction and	2.4	2	1.2
and your	3.76666666667	11	0.34242424242454544
your bend	1.4	1	1.4
bend .	2.5999999999999996	2	1.2999999999999998
is part	4.0	6	0.6666666666666666
of your	20.183333333333003	37	0.5454954954954866
mind and	-0.1499999999999999	3	-0.04999999999999997
and part	3.4000000000000004	2	1.7000000000000002
heart .	1.5499999999999998	8	0.19374999999999998
( Note	1.333333333333	2	0.6666666666665
Note the	0.333333333333	1	0.333333333333
the profit	2.133333333333	3	0.7111111111109999
profit )	0.333333333333	1	0.333333333333
) 5	0.333333333333	1	0.333333333333
5 .	-2.583333333334	4	-0.6458333333335
OK so	-1.75	1	-1.75
so ,	-1.55	7	-0.22142857142857145
There may	-0.9999999999999998	4	-0.24999999999999994
may be	15.049999999999999	31	0.4854838709677419
be something	0.8	2	0.4
else going	0.8	1	0.8
going on	2.4	8	0.3
on .	-5.0	11	-0.45454545454545453
can choose	1.2	1	1.2
choose the	3.2	2	1.6
best deal	2.0	2	1.0
deal from	3.5999999999999996	2	1.7999999999999998
the information	7.75	10	0.775
information you	4.4	4	1.1
have gathered	3.2	2	1.6
gathered .	1.2	1	1.2
same results	1.6	1	1.6
Hosenki and	1.5	1	1.5
the Last	1.5	1	1.5
Last Shard	1.5	1	1.5
Shard 145	1.5	1	1.5
145 .	1.5	1	1.5
Drooping Lips	-0.666666666667	1	-0.666666666667
Lips ...	-0.666666666667	1	-0.666666666667
... http://www.seasonsindia.com/beauty/makeup_sea.htm	-0.666666666667	1	-0.666666666667
All Idiots	-1.0	1	-1.0
Idiots Die	-1.0	1	-1.0
Die for	-1.0	1	-1.0
for Sex	-1.0	1	-1.0
Sex !	-1.0	1	-1.0
Ecologists frequently	2.6	1	2.6
frequently concentrate	2.6	1	2.6
concentrate on	2.6	1	2.6
on particular	2.6	1	2.6
particular taxonomic	2.6	1	2.6
taxonomic groups	2.6	1	2.6
groups or	2.6	1	2.6
or on	2.066666666667	3	0.688888888889
on specific	2.8000000000000003	2	1.4000000000000001
specific environments	2.6	1	2.6
environments .	2.6	1	2.6
is it	-11.999999999999998	13	-0.9230769230769229
it promiscuos	-1.6	1	-1.6
promiscuos ?	-1.6	1	-1.6
chunky and	-3.0	1	-3.0
the coon	-3.0	1	-3.0
coon tails	-3.0	1	-3.0
no because	-0.8	1	-0.8
because it	5.800000000000001	17	0.34117647058823536
it was	12.233333333329995	95	0.12877192982452626
was a	24.849999999999994	79	0.3145569620253164
a hypothetical	-0.8	1	-0.8
hypothetical question	-0.8	1	-0.8
question .	-3.6000000000000005	10	-0.36000000000000004
Show your	0.8	1	0.8
your daughter	3.45	4	0.8625
daughter what	0.8	1	0.8
what is	8.3	18	0.46111111111111114
is right	0.9999999999999999	6	0.16666666666666666
right by	0.8	1	0.8
by doing	0.8	1	0.8
doing what	1.0	3	0.3333333333333333
right .	-8.0	9	-0.8888888888888888
is always	-2.95	8	-0.36875
always the	-1.0	2	-0.5
same .	-0.5500000000000003	5	-0.11000000000000006
Seems this	-0.6	1	-0.6
this doctor	-0.6	1	-0.6
doctor is	0.0	2	0.0
a family	3.2	10	0.32
family practitioner	-0.6	1	-0.6
practitioner .	-0.6	1	-0.6
Does he	-3.6	2	-1.8
he come	-2.6	1	-2.6
come home	-2.6	1	-2.6
home to	1.5999999999999999	6	0.26666666666666666
to u	-2.6	1	-2.6
u for	-2.6	1	-2.6
for his	10.900000000000002	19	0.5736842105263159
his vacations	-2.6	1	-2.6
vacations ?	-2.6	1	-2.6
why god	-3.0	1	-3.0
god why	-3.0	1	-3.0
why ?	-2.6	3	-0.8666666666666667
Choose good	0.6	1	0.6
good health	0.6	1	0.6
health ,	0.39999999999999997	2	0.19999999999999998
, low	0.6	1	0.6
low cholesterol	0.6	1	0.6
cholesterol and	0.6	1	0.6
and dental	0.6	1	0.6
dental insurance	0.6	1	0.6
insurance .	1.0	2	0.5
was like	0.8000000000000003	5	0.16000000000000006
like ,	-8.2	3	-2.733333333333333
, ``	-8.55	6	-1.425
`` omg	-3.0	1	-3.0
omg ,	-3.0	1	-3.0
I 'm	1.8666666666670004	17	0.10980392156864709
'm naked	-3.0	1	-3.0
naked .	-3.0	1	-3.0
There are	5.750000000000001	40	0.14375000000000002
of problems	0.8	1	0.8
problems caused	3.3	2	1.65
caused by	7.8999999999999995	9	0.8777777777777778
by irresponsible	0.8	1	0.8
irresponsible breeding	0.8	1	0.8
breeding .	0.8	1	0.8
Hidden Valley	-2.4	1	-2.4
